Symbol 1,Symbol 2,APR,SHARPE,price
NOC,PYPL,-0.23530222409993373,-0.8934969028180575,-544.4730810526315
IBM,PYPL,-0.2230872650310347,-0.921313841769698,-218.32263157894738
PYPL,VRTX,-0.22259369508492088,-0.8843240371411055,-345.1421052631579
PYPL,T,-0.22242149097254682,-0.889764781747381,-100.50368421052632
CVX,PYPL,-0.2194858402490807,-0.8024406099890218,-248.3263157894737
BMY,PYPL,-0.211078408684936,-0.9167653217983057,-155.25368421052633
AMT,PYPL,-0.20850525691942612,-0.9158108579076348,-331.7952952631579
PM,PYPL,-0.20217987623514333,-0.8408717237957184,-182.71157894736842
AMGN,PYPL,-0.20208386558202152,-0.8764489997247453,-323.6415789473685
JNJ,PYPL,-0.19857455801825763,-0.8488435871508964,-255.07157894736844
KO,PYPL,-0.19116114005181328,-0.7837306082611855,-141.63303289473686
CVX,SCHW,-0.1882391327009989,-1.1653277402715652,-233.55526315789476
BDX,PYPL,-0.18742333754545915,-0.7449562206850054,-326.609662631579
GILD,PYPL,-0.18672756740178797,-0.7911233352107963,-141.11718810526315
PYPL,V,-0.17998368198734815,-0.8367463617417238,-283.3378947368421
PYPL,RTX,-0.1788876135256886,-0.67502841393762,-174.4736842105263
CVS,PYPL,-0.17447630399891867,-0.6666533289868871,-173.61631578947367
PYPL,VZ,-0.1732321440554948,-0.6820022001690211,-130.65578947368422
CVX,MS,-0.171635121776626,-1.2191020345970338,-248.33157894736843
LMT,PYPL,-0.1715673125209286,-0.6199677747899615,-509.99576526315786
CAT,CVX,-0.1639853077753607,-1.255483689634866,-378.6378947368421
ABBV,PYPL,-0.16342021721658595,-0.6395273386490281,-224.96052631578942
ADP,PYPL,-0.1631851226121197,-0.6823347934872118,-293.15761263157896
PFE,PYPL,-0.16298887198136724,-0.5681807502379062,-130.8963157894737
PYPL,UNH,-0.16199648125505772,-0.6903113800511895,-563.1747505263158
ANTM,PYPL,-0.1619076030897757,-0.5849739929723539,-562.5852768421054
MRK,PYPL,-0.16063419433545956,-0.655397971881036,-168.28026631578948
PEP,PYPL,-0.15898799667877883,-0.6803412880752755,-243.18458526315794
MDLZ,PYPL,-0.15573293606115723,-0.6530222384463277,-141.24
CCI,PYPL,-0.15532558119864426,-0.6144755488319462,-254.35830789473687
CB,PYPL,-0.15520949566759767,-0.5817838232783851,-281.44270315789475
PYPL,WMT,-0.15015853358312725,-0.5914116491145365,-203.05631578947367
CME,PYPL,-0.14884744640552783,-0.5449875769620501,-281.0091831578947
CI,PYPL,-0.14855401136240853,-0.4971234147607236,-336.38601052631583
MMC,PYPL,-0.1450241866789772,-0.5944193401599462,-233.34157894736842
NEE,PYPL,-0.14420156458341593,-0.5777410926639511,-155.63159789473684
CVX,TXN,-0.14269096423548056,-0.8077636168543502,-331.3363157894737
AXP,PYPL,-0.1419095609401837,-0.47865935717673297,-236.41894736842107
